Designator,Mid X,Mid Y,Rotation,Layer
BT1,126.588,-80.51812,270.0,top
C1,122.5525,-95.5675,0.0,top
C2,115.758,-95.631,0.0,top
C3,105.791,-79.314,270.0,top
C4,110.236,-83.693,0.0,top
C5,110.302,-87.63,0.0,top
J1,104.287,-107.696,180.0,top
J2,104.033,-99.314,180.0,top
J3,119.277,-106.8515,180.0,top
L1,114.554,-79.352,270.0,top
R1,122.383,-100.0125,0.0,top
R2,115.7155,-100.203,0.0,top
R3,118.714,-78.60962,270.0,top
R4,118.714,-83.05462,270.0,top
U1,85.979,-90.297,0.0,bottom
U2,114.554,-72.644,0.0,bottom
U3,110.378,-79.26012,180.0,top
